Score :	5.29686004e-05
Parameters:
Name	Value	SE
Vmax	1.04822677e-05	N/A
KmNADPH	0.00329366488	N/A
KmMG	0.778790145	N/A

Time courses used:
10.txt
1.txt
2.txt
3.txt
4.txt



Time course 10.txt
time	NADPH	pred_NADPH	MG	pred_MG
1.460000000e+03	4.124529200e-02	4.040494907e-02	NAN	4.987639676e+00

Time course 3.txt
time	NADPH	pred_NADPH	MG	pred_MG
0.000000000e+00	6.980707400e-02	6.980707400e-02	5.000000000e+00	5.000000000e+00
2.000000000e+01	6.956362000e-02	6.963386500e-02	NAN	4.999826791e+00
4.000000000e+01	6.949701400e-02	6.946067613e-02	NAN	4.999653602e+00
6.000000000e+01	6.922140600e-02	6.928750757e-02	NAN	4.999480434e+00
8.000000000e+01	6.894579700e-02	6.911435956e-02	NAN	4.999307286e+00
1.000000000e+02	6.902388600e-02	6.894123208e-02	NAN	4.999134158e+00
1.200000000e+02	6.870004600e-02	6.876812523e-02	NAN	4.998961051e+00
1.400000000e+02	6.850482300e-02	6.859503910e-02	NAN	4.998787965e+00
1.600000000e+02	6.805236600e-02	6.842197379e-02	NAN	4.998614900e+00
1.800000000e+02	6.795360600e-02	6.824892939e-02	NAN	4.998441855e+00
2.000000000e+02	6.795130900e-02	6.807590599e-02	NAN	4.998268832e+00
2.200000000e+02	6.778824100e-02	6.790290369e-02	NAN	4.998095830e+00
2.400000000e+02	6.746440100e-02	6.772992259e-02	NAN	4.997922849e+00
2.600000000e+02	6.749425800e-02	6.755696278e-02	NAN	4.997749889e+00
2.800000000e+02	6.726688100e-02	6.738402435e-02	NAN	4.997576950e+00
3.000000000e+02	6.721635300e-02	6.721110742e-02	NAN	4.997404033e+00
3.200000000e+02	6.679605000e-02	6.703821207e-02	NAN	4.997231138e+00
3.400000000e+02	6.644005500e-02	6.686533841e-02	NAN	4.997058264e+00
3.600000000e+02	6.645383600e-02	6.669248654e-02	NAN	4.996885413e+00
3.800000000e+02	6.612999500e-02	6.651965655e-02	NAN	4.996712583e+00
4.000000000e+02	6.607946700e-02	6.634684855e-02	NAN	4.996539775e+00
4.200000000e+02	6.594855300e-02	6.617406264e-02	NAN	4.996366989e+00
4.400000000e+02	6.583371600e-02	6.600129892e-02	NAN	4.996194225e+00
4.600000000e+02	6.567064800e-02	6.582855751e-02	NAN	4.996021484e+00
4.800000000e+02	6.552365600e-02	6.565583849e-02	NAN	4.995848764e+00
5.000000000e+02	6.534451100e-02	6.548314199e-02	NAN	4.995676068e+00
5.200000000e+02	6.519752000e-02	6.531046809e-02	NAN	4.995503394e+00
5.400000000e+02	6.505052800e-02	6.513781692e-02	NAN	4.995330743e+00
5.600000000e+02	6.488746000e-02	6.496518858e-02	NAN	4.995158115e+00
5.800000000e+02	6.462792800e-02	6.479258317e-02	NAN	4.994985509e+00
6.000000000e+02	6.432016500e-02	6.462000081e-02	NAN	4.994812927e+00
6.200000000e+02	6.436610000e-02	6.444744160e-02	NAN	4.994640368e+00
6.400000000e+02	6.412264600e-02	6.427490565e-02	NAN	4.994467832e+00
6.600000000e+02	6.392742300e-02	6.410239308e-02	NAN	4.994295319e+00
6.800000000e+02	6.361966000e-02	6.392990400e-02	NAN	4.994122830e+00
7.000000000e+02	6.363344100e-02	6.375743853e-02	NAN	4.993950365e+00
7.200000000e+02	6.350252600e-02	6.358499677e-02	NAN	4.993777923e+00
7.400000000e+02	6.333945800e-02	6.341257884e-02	NAN	4.993605505e+00
7.600000000e+02	6.309600400e-02	6.324018486e-02	NAN	4.993433111e+00
7.800000000e+02	6.286862700e-02	6.306781495e-02	NAN	4.993260741e+00
8.000000000e+02	6.264124900e-02	6.289546922e-02	NAN	4.993088395e+00
8.200000000e+02	6.265503000e-02	6.272314778e-02	NAN	4.992916074e+00
8.400000000e+02	6.257234700e-02	6.255085077e-02	NAN	4.992743777e+00
8.600000000e+02	6.229673900e-02	6.237857829e-02	NAN	4.992571504e+00
8.800000000e+02	6.194074400e-02	6.220633048e-02	NAN	4.992399256e+00
9.000000000e+02	6.201883300e-02	6.203410744e-02	NAN	4.992227033e+00
9.200000000e+02	6.169499300e-02	6.186190931e-02	NAN	4.992054835e+00
9.400000000e+02	6.159623300e-02	6.168973621e-02	NAN	4.991882662e+00
9.600000000e+02	6.156178200e-02	6.151758826e-02	NAN	4.991710514e+00
9.800000000e+02	6.138263700e-02	6.134546559e-02	NAN	4.991538392e+00
1.000000000e+03	6.120349100e-02	6.117336832e-02	NAN	4.991366294e+00
1.020000000e+03	6.113688600e-02	6.100129659e-02	NAN	4.991194223e+00
1.040000000e+03	6.084520000e-02	6.082925052e-02	NAN	4.991022177e+00
1.060000000e+03	6.073036300e-02	6.065723024e-02	NAN	4.990850156e+00
1.080000000e+03	6.061552600e-02	6.048523588e-02	NAN	4.990678162e+00
1.100000000e+03	6.058107500e-02	6.031326758e-02	NAN	4.990506194e+00
1.120000000e+03	6.056270100e-02	6.014132546e-02	NAN	4.990334251e+00
1.140000000e+03	6.001378000e-02	5.996940966e-02	NAN	4.990162336e+00
1.160000000e+03	6.005971500e-02	5.979752032e-02	NAN	4.989990446e+00
1.180000000e+03	5.994487800e-02	5.962565756e-02	NAN	4.989818584e+00
1.200000000e+03	5.954065200e-02	5.945382153e-02	NAN	4.989646748e+00
1.220000000e+03	5.950620100e-02	5.928201237e-02	NAN	4.989474938e+00
1.240000000e+03	5.940744100e-02	5.911023021e-02	NAN	4.989303156e+00
1.260000000e+03	5.929260500e-02	5.893847519e-02	NAN	4.989131401e+00
1.280000000e+03	5.911345900e-02	5.876674745e-02	NAN	4.988959673e+00
1.300000000e+03	5.895039000e-02	5.859504715e-02	NAN	4.988787973e+00
1.320000000e+03	5.875516800e-02	5.842337441e-02	NAN	4.988616300e+00
1.340000000e+03	5.880110200e-02	5.825172939e-02	NAN	4.988444655e+00
1.360000000e+03	5.860588000e-02	5.808011222e-02	NAN	4.988273038e+00
1.380000000e+03	5.826596200e-02	5.790852307e-02	NAN	4.988101449e+00
1.400000000e+03	5.802250800e-02	5.773696207e-02	NAN	4.987929888e+00
1.420000000e+03	5.803628800e-02	5.756542937e-02	NAN	4.987758355e+00
1.440000000e+03	5.787322000e-02	5.739392512e-02	NAN	4.987586851e+00
1.460000000e+03	5.780661500e-02	5.722244949e-02	NAN	4.987415375e+00

Time course 4.txt
time	NADPH	pred_NADPH	MG	pred_MG
0.000000000e+00	6.546623800e-02	6.546623800e-02	5.000000000e-01	5.000000000e-01
2.000000000e+01	6.548365500e-02	6.538820024e-02	NAN	4.999219622e-01
4.000000000e+01	6.535637700e-02	6.531017432e-02	NAN	4.998439363e-01
6.000000000e+01	6.519694500e-02	6.523216028e-02	NAN	4.997659223e-01
8.000000000e+01	6.518220800e-02	6.515415814e-02	NAN	4.996879201e-01
1.000000000e+02	6.508708500e-02	6.507616792e-02	NAN	4.996099299e-01
1.200000000e+02	6.497588400e-02	6.499818962e-02	NAN	4.995319516e-01
1.400000000e+02	6.497722400e-02	6.492022324e-02	NAN	4.994539852e-01
1.600000000e+02	6.494640900e-02	6.484226880e-02	NAN	4.993760308e-01
1.800000000e+02	6.477090000e-02	6.476432630e-02	NAN	4.992980883e-01
2.000000000e+02	6.470793100e-02	6.468639575e-02	NAN	4.992201578e-01
2.200000000e+02	6.461280800e-02	6.460847717e-02	NAN	4.991422392e-01
2.400000000e+02	6.443729900e-02	6.453057055e-02	NAN	4.990643325e-01
2.600000000e+02	6.434217600e-02	6.445267591e-02	NAN	4.989864379e-01
2.800000000e+02	6.424705300e-02	6.437479325e-02	NAN	4.989085553e-01
3.000000000e+02	6.426446900e-02	6.429692259e-02	NAN	4.988306846e-01
3.200000000e+02	6.413719200e-02	6.421906394e-02	NAN	4.987528259e-01
3.400000000e+02	6.397776000e-02	6.414121730e-02	NAN	4.986749793e-01
3.600000000e+02	6.391479100e-02	6.406338267e-02	NAN	4.985971447e-01
3.800000000e+02	6.378751300e-02	6.398556008e-02	NAN	4.985193221e-01
4.000000000e+02	6.374062200e-02	6.390774953e-02	NAN	4.984415115e-01
4.200000000e+02	6.366157600e-02	6.382995103e-02	NAN	4.983637130e-01
4.400000000e+02	6.372722400e-02	6.375216458e-02	NAN	4.982859266e-01
4.600000000e+02	6.353563800e-02	6.367439020e-02	NAN	4.982081522e-01
4.800000000e+02	6.334405100e-02	6.359662789e-02	NAN	4.981303899e-01
5.000000000e+02	6.334539100e-02	6.351887767e-02	NAN	4.980526397e-01
5.200000000e+02	6.323419100e-02	6.344113954e-02	NAN	4.979749015e-01
5.400000000e+02	6.329983900e-02	6.336341351e-02	NAN	4.978971755e-01
5.600000000e+02	6.326902500e-02	6.328569959e-02	NAN	4.978194616e-01
5.800000000e+02	6.304528400e-02	6.320799779e-02	NAN	4.977417598e-01
6.000000000e+02	6.307877800e-02	6.313030812e-02	NAN	4.976640701e-01
6.200000000e+02	6.291934600e-02	6.305263059e-02	NAN	4.975863926e-01
6.400000000e+02	6.285637700e-02	6.297496521e-02	NAN	4.975087272e-01
6.600000000e+02	6.268086800e-02	6.289731198e-02	NAN	4.974310740e-01
6.800000000e+02	6.269828500e-02	6.281967092e-02	NAN	4.973534329e-01
